Year,State,County,Value
2013,INDIANA,WHITE,184.1
2013,INDIANA,HARRISON,168
2013,INDIANA,JACKSON,148.8
2013,INDIANA,MONROE,185.5
2013,INDIANA,ORANGE,181.4
2013,INDIANA,OTHER (COMBINED) COUNTIES,153.6
2013,INDIANA,WASHINGTON,146.1
2013,INDIANA,CLARK,161.2
2013,INDIANA,DEARBORN,145.8
2013,INDIANA,FRANKLIN,179.2
2013,INDIANA,JENNINGS,156.4
2013,INDIANA,OTHER (COMBINED) COUNTIES,147.8
2013,INDIANA,RIPLEY,170.2
2013,INDIANA,SCOTT,164.5
2013,INDIANA,DAVIESS,182.9
2013,INDIANA,DUBOIS,180.5
2013,INDIANA,GIBSON,177
2013,INDIANA,KNOX,180.2
2013,INDIANA,OTHER (COMBINED) COUNTIES,156
2013,INDIANA,PIKE,169.1
2013,INDIANA,POSEY,193
2013,INDIANA,SPENCER,184.7
2013,INDIANA,VANDERBURGH,179.7
2013,INDIANA,WARRICK,183.6
2013,INDIANA,CLAY,154.7
2013,INDIANA,FOUNTAIN,183.5
2013,INDIANA,MONTGOMERY,195.9
2013,INDIANA,OWEN,148.6
2013,INDIANA,PARKE,173.1
2013,INDIANA,PUTNAM,182.7
2013,INDIANA,TIPPECANOE,185.1
2013,INDIANA,VERMILLION,185.6
2013,INDIANA,VIGO,159.8
2013,INDIANA,WARREN,184.4
2012,INDIANA,BARTHOLOMEW,78.8
2012,INDIANA,BOONE,91.6
2012,INDIANA,CLINTON,148
2012,INDIANA,DECATUR,86.1
2012,INDIANA,HAMILTON,121.9
2012,INDIANA,HANCOCK,90.5
2012,INDIANA,HENDRICKS,58.3
2012,INDIANA,HOWARD,154.2
2012,INDIANA,JOHNSON,58.1
2012,INDIANA,MADISON,119.9
2012,INDIANA,MORGAN,42.3
2012,INDIANA,OTHER (COMBINED) COUNTIES,112.2
2012,INDIANA,RUSH,79.6
2012,INDIANA,SHELBY,62.4
2012,INDIANA,TIPTON,157.9
2012,INDIANA,BLACKFORD,119.2
2012,INDIANA,DELAWARE,111.5
2012,INDIANA,FAYETTE,74.9
2012,INDIANA,HENRY,92.4
2012,INDIANA,JAY,107.7
2012,INDIANA,RANDOLPH,94
2012,INDIANA,UNION,91.7
2012,INDIANA,WAYNE,79.8
2012,INDIANA,CARROLL,115.5
2012,INDIANA,CASS,108
